Sitio,Depth Group,Fecha,Profuidad (m),Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),PT (µg/l),NT (µg/l)
SA,0-10 m,2021-07-13 00:00:00,4.5,23.63708883,1.979374414,8.790574089,0.522053795,7.36676985,243,3.04922343,5.234959384,1.734513514,1.934110345,2.056645161,4.213204509,10.56452159
SA,0-10 m,2021-08-10 00:00:00,4.5,23.47237432,1.137308623,8.818670057,0.417419965,7.397959564,240.5289594,3.102751267,5.38837936,1.313046667,3.9132,3.943261538,2.852173913,15.3888187
SA,0-10 m,2021-09-07 00:00:00,4.5,23.64865212,1.69370758,8.460061441,0.579258968,7.399537558,242.0271953,3.166697328,5.268437641,2.419546667,5.322793548,3.515482353,2.354545455,12.19086536
SA,0-10 m,2021-10-12 00:00:00,4.5,23.91843202,2.283187061,8.439161918,0.5841693,7.477838734,242,3.256537387,5.021131036,3.5408,4.081509677,6.14915,1.661538462,11.7233519
SA,0-10 m,2021-11-09 00:00:00,4.5,23.21460975,6.724386149,8.523957968,0.617013399,6.992147713,242.0585346,2.807839159,4.53910097,5.747087957,5.95676,6.431117241,2.227272727,13.57613819
SA,0-10 m,2021-12-07 00:00:00,4.5,21.73407955,2.641214478,8.485185921,0.507068538,7.093130618,245,2.067137994,5.65474703,2.694942222,3.050612903,5.019101818,1.763636364,23.53722241
SA,0-10 m,2022-01-18 00:00:00,4.5,20.97944742,2.216398457,8.443497406,0.330792362,6.76468717,247,1.446286877,6.282940283,50.01183353,18.61278462,13.19614545,5.984,47.41826917
SA,0-10 m,2022-02-08 00:00:00,4.5,20.89531005,2.453386321,8.601195845,0.420820825,6.942781885,247.717042,1.798014392,6.016935517,49.94221195,5.049290323,9.316533333,2.152380952,51.70175525
SA,0-10 m,2022-03-08 00:00:00,4.5,20.79481648,2.616242697,7.818140405,38.84605738,7.546786116,236.8302619,1.805520259,6.005891691,80.15152639,3.149194286,1.135348148,2.730434783,30.12553779
SA,0-10 m,2022-04-05 00:00:00,4.5,22.04143081,2.121317361,8.186896191,0.536765209,7.589467175,249.3551323,2.218788828,6.057087876,11.33971724,29.22822222,0.598647887,2.676428571,22.11637721
SA,0-10 m,2022-05-10 00:00:00,4.5,23.60113244,1.694491209,8.508604717,33.94817371,7.926953991,248,3.103517944,5.427437263,1.985377143,6.47852,3.286477419,2.478571429,10.89357355
SA,0-10 m,2022-06-14 00:00:00,4.5,23.14905808,1.905614483,8.686991704,0.408644426,7.342566271,245.1995153,2.82321027,5.410082596,2.424240909,2.136517241,2.3184,2.714285714,14.96930187
SA,0-10 m,2022-07-12 00:00:00,4.5,23.14589008,1.612001429,8.623072322,0.661916253,7.412561998,245.8043571,2.968638393,5.400543887,3.56265679,5.464986207,2.605723077,2.784,15.41093359
SA,0-10 m,2022-08-09 00:00:00,4.5,23.15486613,1.895803955,7.996239282,0.576091908,7.091904845,246,3.05838776,5.609091436,2.041995455,2.378611765,1.1776,2.184615385,16.97278696
