location,depth_group,date,feature,original_value,z_score,replacement_value
SA,30m+,2023-10-18,total_dissolved_solids,300.0,2.134001196599539,252.70144755
WG,0-10m,2019-05-14,total_dissolved_solids,319.0,3.047286120023424,
WG,0-10m,2019-08-13,total_dissolved_solids,306.5024215,2.472300325139176,311.54545455
WG,0-10m,2019-09-04,total_dissolved_solids,304.0909091,2.3613520022950945,307.02447535
WG,0-10m,2019-10-09,total_dissolved_solids,307.5465292,2.520337398547377,
WG,0-10m,2019-12-03,total_dissolved_solids,303.0,2.3111617005490444,
WG,0-10m,2019-12-06,total_dissolved_solids,318.0,3.001278343806275,274.0
WG,0-10m,2023-10-18,total_dissolved_solids,300.0,2.1731383718975983,249.5
WG,10-30m,2019-05-14,total_dissolved_solids,320.15,3.081175010627729,
WG,10-30m,2019-08-13,total_dissolved_solids,306.9898783,2.4704875917939924,312.275
WG,10-30m,2019-09-04,total_dissolved_solids,304.4,2.3503058693012195,307.61386715000003
WG,10-30m,2019-10-09,total_dissolved_solids,308.237856,2.5283992356031133,
WG,10-30m,2019-12-03,total_dissolved_solids,303.55,2.3108621378645524,
WG,10-30m,2019-12-06,total_dissolved_solids,319.4666667,3.0494653457254572,274.64881560000003
WG,10-30m,2023-10-18,total_dissolved_solids,300.0,2.146126553629053,249.44300800000002
WG,30m+,2019-05-14,total_dissolved_solids,319.3965517,3.086287649244032,
WG,30m+,2019-08-13,total_dissolved_solids,306.6785479,2.4686770418053983,311.76724134999995
WG,30m+,2019-09-04,total_dissolved_solids,304.137931,2.3452998222705306,307.4067774
WG,30m+,2019-10-09,total_dissolved_solids,308.1350069,2.5394054785825175,
WG,30m+,2019-12-03,total_dissolved_solids,303.5396825,2.316247730032264,
WG,30m+,2019-12-06,total_dissolved_solids,319.5272727,3.0926357112107232,274.73779925
WG,30m+,2023-10-18,total_dissolved_solids,300.0,2.1443539726986702,249.0448588
WP,0-10m,2019-05-14,total_dissolved_solids,320.0,3.4677255004462677,
WP,0-10m,2019-09-04,total_dissolved_solids,304.1818182,2.682614268107876,245.44277605
WP,0-10m,2019-12-03,total_dissolved_solids,303.0,2.6239565313886057,
WP,0-10m,2019-12-06,total_dissolved_solids,318.0,3.3684585629100723,274.0
WP,0-10m,2023-10-18,total_dissolved_solids,300.0,2.4750561250843126,248.72287169999998
