location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus,nitrogen
WG,10-30m,04/12/2018,21.0886995,1.785983746,8.625607762,5.850706707,9.010624595,0.70833218,284.2745878,0.232594931,0,21.24599358,3.620219467,45.57397002,24.53333333
WG,30m+,04/12/2018,20.25982525,0.461176266,8.271964608,2.494033902,10.63712685,0.953530074,309.9950613,0.135247866,39.81627954,38.98566281,2.112049921,69.22263002,114.7173136
SA,0-10m,06/12/2018,23.26055297,2.328827109,8.918405216,7.080478982,6.5,0.8,256.0088839,0.365962623,13.39,13.65128131,7.918970244,15.44828927,35.85
SA,10-30m,06/12/2018,22.44659051,1.582606742,8.538905636,5.68602974,6.512014065,3.245906045,261.9666691,0.402719263,11.58,19.44279605,7.420540298,21.72157886,69.6
SA,30m+,06/12/2018,20.57176548,0.650000129,7.94381686,2.050029039,10.69329034,0.671049075,309.7099268,0.789551273,87.56666667,41.83665303,4.637639768,65.30879162,65.03333333
WP,0-10m,06/12/2018,23.62795667,1.453905339,8.87266671,7.035633129,3.3,1.7,240.1692405,1.182928333,11.53,11.56633601,7.046717839,27.05387501,52
WP,10-30m,06/12/2018,22.02356831,0.759086072,8.479146208,6.064043052,0,4.776634863,265.8425908,0.507159109,28.25,23.38102607,7.420540298,26.11288157,56.55
WP,30m+,06/12/2018,20.34864001,0.467574948,8.073785232,2.815894079,8.323706035,2.131844537,301.0193286,0.380613871,70.06166667,42.76329539,7.046717839,52.46069784,92
WG,0-10m,09/12/2018,23.83047057,0.982821994,8.872369894,7.111558458,9.5,2,236,0.508046593,0,8.400007662,0.947971801,25.97027251,53.19239962
WG,10-30m,09/12/2018,23.14434007,1.434922678,8.754068469,6.440520394,8.049882128,2.991194914,251.2315865,0.430740725,0,15.00767455,17.40704063,37.50467125,58.04262712
WG,30m+,09/12/2018,20.29478261,0.469106261,8.093305504,2.319481433,7.093609438,0.462222928,281.3599401,0.089513139,86.06292281,38.46860415,24.57727165,94.95341852,144.5266837
SA,0-10m,12/12/2018,21.48715446,1.810013347,8.676075216,7.237982782,6,2.1,201.2,0.611713794,0,0,13.34977273,27.88934783,54.68190817
SA,10-30m,12/12/2018,21.45330514,2.118637124,8.60736472,6.142632759,6.347870659,1.690948797,287.4565178,0.608043196,0,0,7.244856028,31.43119565,57.04676727
SA,30m+,12/12/2018,21.36305865,1.526515606,8.450457371,5.492709329,6.266923295,1.820130567,302.251605,0.940698114,0,0,15.56122712,43.5773913,74.85725271
WG,0-10m,12/12/2018,21.59587351,2.051809134,8.303065721,6.390152017,6.73,2.2,201.9,0.655698479,0,0,16.10846815,34.3422978,49.11509484
WG,10-30m,12/12/2018,21.60893228,2.300618312,8.580745251,6.302795964,7.048701388,1.738551756,289.6378206,0.655492275,0,0,1.303391339,26.06036232,49.25886656
WG,30m+,12/12/2018,20.36574956,0.535820221,7.762333613,2.22052285,10.98867289,1.100031375,290.8550141,0.1248353,52.49283333,66.405,10.69034639,42.86626087,154.856769
WP,0-10m,12/12/2018,21.58644371,1.932989341,8.572200442,7.059440811,6.45,3.1,209.6,0.461292234,0,0,0,23.60691196,68.78076158
WP,10-30m,12/12/2018,21.58111658,1.844801819,8.561226311,5.700112115,8.118308235,1.701221137,287.8894397,0.466857364,0,0,0,30.43075374,62.52369026
WP,30m+,12/12/2018,20.6016528,0.617633382,8.017479702,2.317775666,8.948155641,1.423512663,269.9093756,0.511758841,86.38253443,45.99416541,20.31245936,40.44684208,151.4928728
SA,0-10m,14/05/2019,23.30046824,1.760399615,8.716161318,7.410947675,6.25,4.2,284.9333333,0.380444294,1.872727273,10.5,14.7826087,14.18181818,0
SA,10-30m,14/05/2019,22.13828028,1.163167903,8.36907283,5.8676624,8.221002836,4.780650488,266.3012315,0.448734138,0,9.5,25.10869565,13.27272727,49.97043569
SA,30m+,14/05/2019,20.85577653,0.56077055,7.810778622,2.40849635,1.726497042,3.389315649,289.3831661,0.874435597,1.690909091,58.16666667,16.26811594,21.42424242,119.8157352
WG,0-10m,14/05/2019,23.7159759,1.16886951,8.844977148,7.229429807,7.768751886,2.8,259.3459714,0.298236413,11.45454545,3,15.10869565,12.13636364,0
WG,10-30m,14/05/2019,22.28136118,1.129483416,8.616595998,6.189144491,8.111889697,4.479419283,259.5235743,0.304336159,2.363636364,0.833333333,13.36956522,11.15151515,13.38959384
WG,30m+,14/05/2019,20.33688838,0.40070642,7.902692934,1.603007257,8.298083685,2.412281299,284.7559169,0.090167504,13.99454545,92,13.67391304,37.72727273,140.2831409
WP,0-10m,14/05/2019,23.97121015,1.308230822,8.855802552,7.66338864,5,4.2,264.1536914,0.321031131,0,4.5,23.69565217,11,18.31498344
WP,10-30m,14/05/2019,21.88303042,0.765381325,8.606518185,5.993735987,5.037687598,4.714806681,260.0836061,1.30772092,0,9,25.10869565,13.27272727,59.00048601
WP,30m+,14/05/2019,20.49314386,0.42090648,8.070562356,2.858134206,5.857963777,3.030496232,284.669763,0.853798621,5.115151515,56.5,27.24637681,31.68181818,123.1090813
SA,0-10m,13/08/2019,23.85895613,1.300874127,8.807352946,7.182337049,5.8375,3.9,280.6927619,0.34398524,3.363636364,14.8,13.47826087,13.60869565,0
SA,10-30m,13/08/2019,23.30875083,1.640750092,8.125049039,6.151244586,4.875129814,4.223674283,246.1452102,0.495690742,3.363636364,7.8,15.32608696,15.13043478,11.08491088
SA,30m+,13/08/2019,20.97328013,0.679779486,7.109471738,1.773743104,7.021790625,2.117052615,226.9167474,0.480312907,57.15151515,68.63333333,18.26086957,47.52173913,168.2334213
WG,0-10m,13/08/2019,23.73191733,1.180294832,8.802644649,7.013105895,7.9,3.9,283.7406798,0.269775183,0.181818182,8.8,26.97819503,8.608695652,0
WG,10-30m,13/08/2019,23.10295297,1.777044486,8.487831792,6.081729993,7.289704321,3.42273327,241.1962882,0.319680656,0,7.3,17.17391304,9.695652174,32.8754883
WG,30m+,13/08/2019,20.35885233,0.459281591,7.419092922,1.281983941,8.904255982,1.280265023,253.0937476,0.153278823,78.81818182,102.4,14.2173913,33.08695652,185.9879212
WP,0-10m,13/08/2019,23.78624624,1.484918686,8.686674041,7.245586744,6.525,3.6,245.3572582,0.52414909,0,9.3,8.913043478,10.7826087,3.006657641
WP,10-30m,13/08/2019,23.27062958,1.555247879,8.464318237,6.402459395,5.863024755,3.733852588,245.5100603,0.612620031,0,7.8,11.30434783,12.08695652,25.38126118
WP,30m+,13/08/2019,20.60193708,0.521629947,7.745828492,2.512471513,7.390014805,1.52601603,246.343945,0.748803294,71.84848485,62.96666667,11.12318841,25.7826087,158.8480839
SA,0-10m,04/09/2019,21.52861238,3.341801617,8.753406545,7.605,6.93,2.5,304.9,0.634927431,4.4,8,7.542857143,13.625,0
