location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,30m+,2015-09-09,21.08113636,0.60469697,7.861590909,2.564469697,5.75,1.379155029,,,,,,
WG,0-10m,2015-09-09,23.821,2.314,8.883,8.043,6.0,0.8,,,,,,
WG,10-30m,2015-09-09,23.560000000000002,2.52225,8.690999999999999,7.5120000000000005,6.0,0.8,,,,,,
WG,30m+,2015-09-09,20.73373905,0.546814066,8.124810078,2.88554513,6.0,0.8,,,,,,
WP,0-10m,2015-09-09,24.099,2.580666667,9.051,8.178,5.5,2.5,,,,,,
WP,10-30m,2015-09-09,23.4595,1.6341666665,8.683499999999999,7.2615,5.5,2.5,,,,,,
WP,30m+,2015-09-09,20.9779942,0.494645754,8.046731282,3.068585945,5.5,2.5,,,,,,
SA,0-10m,2015-10-02,20.545,3.136,8.278,6.417,5.29,1.236374838,,,,,,
SA,10-30m,2015-10-02,20.274,1.826,8.141,4.7005,5.29,1.236374838,,,,,,
SA,30m+,2015-10-02,20.17689394,1.875833333,8.123712121,5.863484848,5.29,1.236374838,,,,,,
WP,0-10m,2015-10-02,20.578,4.7145,8.427,6.684,7.598206278,2.2,,,,,,
WP,10-30m,2015-10-02,20.450499999999998,4.19525,8.23,6.7555,7.598206278,2.2,,,,,,
WP,30m+,2015-10-02,20.34625494,1.298581725,8.107080435,6.584498055,7.598206278,2.2,,,,,,
SA,0-10m,2015-10-03,20.569,2.96,8.599,7.138,5.2,1.27392134,,,,,,
SA,10-30m,2015-10-03,20.41,4.7835,8.4865,6.572,5.2,1.27392134,,,,,,
SA,30m+,2015-10-03,20.30590909,5.040530303,8.359090909,6.674242424,5.2,1.27392134,,,,,,
WP,0-10m,2015-10-03,21.092,1.61,8.647,6.591,7.0,1.9,,,,,,
WP,10-30m,2015-10-03,20.454,6.2635000000000005,8.5305,5.937,7.0,1.9,,,,,,
WP,30m+,2015-10-03,20.34041464,4.483390524,8.427080562,4.968472297,7.0,1.9,,,,,,
SA,0-10m,2015-10-08,23.6,1.357,8.817,7.479,6.3,1.369402174,,,,,,
SA,10-30m,2015-10-08,23.098,1.4175,8.749500000000001,7.068,6.3,1.369402174,,,,,,
SA,30m+,2015-10-08,21.06893939,0.730378788,8.204166667,3.538863636,6.3,1.369402174,,,,,,
WP,0-10m,2015-10-08,24.422,0.931,8.867,7.801,8.0,2.0,,,,,,
WP,10-30m,2015-10-08,23.199,1.383,8.781500000000001,7.3205,8.0,2.0,,,,,,
WP,30m+,2015-10-08,20.81947776,0.818305361,8.243498078,3.355468384,8.0,2.0,,,,,,
WG,0-10m,2015-11-02,20.708,5.936,8.443,5.813,4.0,1.7,,,,,,
WG,10-30m,2015-11-02,20.5635,5.4175,8.3065,5.829000000000001,4.0,1.7,,,,,,
WG,30m+,2015-11-02,20.32003544,0.932575962,7.992262297,5.159681192,4.0,1.7,,,,,,
WG,0-10m,2015-11-03,20.869,1.928,8.744,7.055,6.5,1.8,,,,,,
WG,10-30m,2015-11-03,20.689999999999998,4.5775,8.665,6.8905,6.5,1.8,,,,,,
WG,30m+,2015-11-03,20.32882332,2.365075301,8.3564543,4.137544515,6.5,1.8,,,,,,
WG,0-10m,2015-11-08,23.893,1.003,8.914,7.868,7.9,4.8,,,,,,
WG,10-30m,2015-11-08,23.2465,1.608,8.798,7.5225,7.9,4.8,,,,,,
WG,30m+,2015-11-08,20.63167536,0.62739437,8.065812445,3.003552134,7.9,4.8,,,,,,
SA,0-10m,2015-11-11,23.53,2.491539286,8.906,7.259,6.0,1.395462534,,,,,,
SA,10-30m,2015-11-11,23.455,2.8333342630000002,8.734,6.499,6.0,1.395462534,,,,,,
SA,30m+,2015-11-11,21.74856544,1.427619871,7.890293943,2.760338856,6.0,1.395462534,,,,,,
WG,0-10m,2015-12-11,23.52,1.944153389,8.979,7.353,6.0,1.7,,,,,,
WG,10-30m,2015-12-11,23.425,2.5301793200000002,8.907499999999999,6.833,6.0,1.7,,,,,,
WG,30m+,2015-12-11,21.25009919,0.901680296,7.983530912,2.976353918,6.0,1.7,,,,,,
WP,0-10m,2015-12-11,23.48,1.868556855,8.969,7.114,4.6,2.2,,,,,,
WP,10-30m,2015-12-11,23.305,2.1833682945,8.83,5.84,4.6,2.2,,,,,,
WP,30m+,2015-12-11,21.74257642,1.045971494,7.926559408,2.824428829,4.6,2.2,,,,,,
SA,0-10m,2016-01-03,21.147,3.553,8.652,8.027,3.6,1.415445097,,,,,,
SA,10-30m,2016-01-03,20.765,2.5725,8.5275,6.865,3.6,1.415445097,,,,,,
SA,30m+,2016-01-03,20.64598485,1.442727273,8.483030303,6.369545455,3.6,1.415445097,,,,,,
WG,0-10m,2016-01-03,20.904,3.272,8.654,7.296,4.05,1.939666744,,,,,,
WG,10-30m,2016-01-03,20.8505,4.0055,8.621500000000001,7.229,4.05,1.939666744,,,,,,
WG,30m+,2016-01-03,20.51624462,1.608223441,8.310761639,4.104223244,4.05,1.939666744,,,,,,
SA,0-10m,2016-01-19,21.549,1.856,7.981,7.324,6.7,1.408864985,,,,,,
SA,10-30m,2016-01-19,21.522,2.2355,7.8309999999999995,7.182499999999999,6.7,1.408864985,,,,,,
SA,30m+,2016-01-19,21.36431818,1.623484848,7.559772727,5.898181818,6.7,1.408864985,,,,,,
WP,0-10m,2016-01-19,21.597,1.373,7.775,7.321,7.0,2.0,,,,,,
WP,10-30m,2016-01-19,21.490499999999997,1.7345000000000002,7.7045,7.042,7.0,2.0,,,,,,
WP,30m+,2016-01-19,21.13638096,1.009018645,7.523858615,5.418130486,7.0,2.0,,,,,,
WG,0-10m,2016-01-20,21.562,1.983,7.892,7.129,7.1,0.8,,,,,,
WG,10-30m,2016-01-20,21.569000000000003,2.34525,7.7795000000000005,7.125,7.1,0.8,,,,,,
WG,30m+,2016-01-20,20.85181777,0.924665562,7.56850577,4.26508312,7.1,0.8,,,,,,
SA,0-10m,2016-02-16,20.9,3.079947655,8.143,6.663,6.0,1.41336113,,,,,,
SA,10-30m,2016-02-16,20.7485,2.63675,8.079,6.8385,6.0,1.41336113,,,,,,
SA,30m+,2016-02-16,20.63848485,2.308181818,8.067121212,7.017348485,6.0,1.41336113,,,,,,
WP,0-10m,2016-02-16,21.178,3.5305,7.983,7.43,5.6,0.8,,,,,,
WP,10-30m,2016-02-16,20.8545,4.87,7.9155,6.952,5.6,0.8,,,,,,
WP,30m+,2016-02-16,20.71841587,3.061009917,7.893810381,5.686856551,5.6,0.8,,,,,,
WG,0-10m,2016-02-17,21.022,4.132,8.695,7.291,5.2,1.475372849,,,,,,
WG,10-30m,2016-02-17,20.8525,3.518,8.6265,6.7835,5.2,1.475372849,,,,,,
WG,30m+,2016-02-17,20.55390853,1.105047134,8.260602892,3.95440861,5.2,1.475372849,,,,,,
