Sitio,Fecha,Profuidad (m),Depth Group,Temp. (°C),Chl a (µg/l),Ph (Unidad),Turbidity (NTU),DO (mg/L),TDS (mg/l),DBO (mg/l),Sechi  (m),NO3 (µg/L),PO4 (µg/L),NH4 (µg/L),NT (µg/l),PT (µg/l)
WG,2023-01-17,161.5,30+ m,20.50019957425312,0.761632375279379,6.653779483034887,0.1290921383162038,1.168266828517505,247.4289560971339,0.0,7.284137226842324,56.40327176892262,107.8111510416667,58.13679326669564,205.4861207595748,34.74677938808374
WP,2023-01-17,19.5,10-30 m,20.96969099325079,3.171861366284987,7.851324955684779,0.4196063238230429,6.127512572274604,246.1607518586334,0.9891764645283894,9.187733093658114,95.5495294117647,33.10934062499999,14.72418181818182,79.04306734009751,12.29166666666667
SA,2023-01-17,4.5,0-10 m,20.93843956688512,2.404316625794236,8.05742321351455,0.5002616930072769,6.907896067201811,247.2500873910309,2.5,6.375,28.19636335238471,34.128403125,26.01625633383011,61.92200211336824,13.95833333333334
SA,2023-01-17,19.5,10-30 m,20.81314862822782,2.515218653530117,7.357148496496902,0.5513348880603463,6.517270579273162,247.4138764571117,0.9193963917799048,8.53896793084707,66.29995618153366,39.223715625,22.2515916542474,49.59050097515894,10.625
WP,2023-01-17,4.5,0-10 m,21.22796969517559,1.720324875769562,8.16241184257605,0.3754079124759673,6.47515149900386,246.609279788959,2.5,7.9,56.68511484739959,33.109340625,11.79690909090909,52.72994678467212,9.166666666666668
SA,2023-02-14,4.5,0-10 m,20.83061160114912,2.31990626160061,8.14417013482781,0.4581404307312649,6.587865040944054,248.0,1.7,7.2125,33.01911723820785,32.8274,15.48902564102564,37.39655913032164,14.8695652173913
SA,2023-02-14,39.0,30+ m,20.49641570718537,1.899535969095699,6.174805303184304,0.8755565913556945,6.35505994710509,249.1553575624585,1.687244092448684,5.423544544391748,64.32453333333335,31.74040000000001,21.10338461538462,74.61696033389791,15.08695652173913
WG,2023-02-14,19.5,10-30 m,20.67077028315375,2.274493659300093,8.019521784041022,0.3381584314809934,6.449168618805454,247.7392374143048,1.325271417706692,10.20089597843465,8.076408938172044,35.5449,4.865777777777779,43.66017734034417,12.40579710144928
WP,2023-02-14,4.5,0-10 m,20.77774260634053,2.020706731684752,8.15994111318372,0.4156541440843927,6.985183766772649,248.0,2.8,7.575,53.33225094723316,34.63839758522727,8.605883116883117,36.82233327214163,15.95652173913044
WG,2023-02-14,4.5,0-10 m,20.68506813242942,2.29999993903262,8.519813760742082,0.3766881759558502,6.950895429590313,247.0,2.2,8.125,35.15844340926876,35.5449,11.0305641025641,13.44984865420365,13.56521739130435
WP,2023-02-14,19.5,10-30 m,20.65082494886422,2.583229282954974,7.667860544246354,0.3815882316578514,5.517678794849155,248.0,1.387259114895725,10.38689467662357,91.96944401260504,47.50190000000001,5.085948717948718,61.90429463013682,18.56521739130435
SA,2023-02-14,19.5,10-30 m,20.60736168101624,5.320058396470239,7.47189980535609,0.7575047159363846,6.612835635210944,248.004664978427,1.766369884104253,5.555803806309907,69.34066666666668,32.2839,5.251076923076924,51.56179558246671,14.8695652173913
WP,2023-02-14,68.0,30+ m,20.58421290640865,1.86592624962775,6.704522812826992,0.4359131718089345,4.147039152570246,248.0,1.279697227161527,11.56515655621835,136.9732320728291,62.79236666666666,3.985094017094018,170.3712335729658,22.68
WG,2023-02-14,161.0,30+ m,20.4707041429626,0.8208369847042387,6.136006418842133,0.1789666053336864,1.567134368752645,248.3113592719855,0.08771259165115186,7.415312869866391,95.50858156761414,118.4467666666667,58.75833982905983,212.7422880323622,38.55903381642512
WP,2023-03-14,63.5,30+ m,20.56706789726245,1.360533044910522,7.016593087265683,0.8663423376758582,4.132369480213017,249.0,1.615124824947464,7.497233450100426,175.9018857142857,97.01475,6.308571428571429,166.3100034601761,18.11536231884058
WG,2023-03-14,19.5,10-30 m,21.098477841,2.14959806505,7.89015196675,0.3677439838,6.40994856745,248.1778376507256,1.635840891045446,9.072102975676387,8.918925403225806,26.28563636363637,8.043428571428572,51.43486920489264,9.522222222222222
SA,2023-03-14,19.5,10-30 m,20.9446562566626,5.034511439068639,7.586651114215277,0.5441241445499377,6.403694342374136,249.2674612357318,1.932189106371252,5.426209747892106,36.61351832884097,26.92253548387097,5.283428571428571,32.63743442104375,13.3
SA,2023-03-14,4.5,0-10 m,21.40490334748377,4.790844511402035,8.23091705614107,0.54575848702582,7.67371242421117,249.0,4.1,5.1125,37.841871124031,33.41042727272727,4.757714285714286,35.30000950304333,10.13333333333333
WG,2023-03-14,4.5,0-10 m,21.680289721,1.6139585708,8.5623170498,0.3815420711,7.309642460000001,248.0,0.3,7.592500000000001,28.60262893951251,12.94518181818182,18.032,0.0,9.8
WP,2023-03-14,19.5,10-30 m,20.96933030770026,2.110411152327452,7.484396132807928,0.3916938649445952,6.161436882903772,248.1600861372434,1.358407904054909,10.95882587011362,88.38935861344537,45.06109090909091,5.152000000000001,44.76552192017614,11.13333333333333
WP,2023-03-14,4.5,0-10 m,22.04872895238402,1.579157427169762,8.157470383791388,0.498817561362953,7.495216034541438,248.3282790007821,3.6,7.25,49.97938704706672,36.16745454545455,5.414857142857143,20.91471975961115,11.13333333333333
WG,2023-03-14,161.0,30+ m,20.46046137619772,0.667737444121673,6.586308318296577,0.1807666885171103,1.594528218247148,249.0,0.3684639256958602,5.766268870069458,40.46456250374364,136.6620162337662,52.06798412698413,180.5253162528908,39.06247987117553
SA,2023-03-14,40.0,30+ m,20.61523342464583,1.76848559598207,6.965650769547282,0.6523798814886349,4.775039232457845,251.7991980613582,2.115733606931635,7.378559146495527,78.76013315363882,51.64896969696971,5.502476190476191,106.1704883209133,15.85555555555555
SA,2023-04-11,39.5,30+ m,20.7385771709969,0.9762319515526487,6.479934403445819,0.6070753370349307,2.771933033355476,253.0087213874553,1.797021520549601,11.81829193355267,81.61460894970077,86.008875,2.996,229.5887536469644,22.78260869565217
SA,2023-04-11,19.5,10-30 m,21.84196032847506,2.319221994999623,7.384261561482761,0.462271090755228,6.777494014014133,250.1031472262897,2.154756479678364,5.049350668109727,27.15875916442048,21.56117096774194,9.296,19.51873262521725,12.18181818181818
WP,2023-04-11,4.5,0-10 m,22.22138139762644,0.5775688472529223,8.201406219140015,0.2365209886462342,7.123211012038536,249.0,3.35,7.5,46.62652314690028,25.92064662756598,6.355999999999999,60.69412315862571,8.09090909090909
WP,2023-04-11,66.0,30+ m,20.58834969350115,0.851973440849206,7.1427378099123,0.6718068839731972,3.760779416418446,249.0,0.5575437049295662,7.341862670030316,114.5397627723971,79.19247916666667,10.08933333333333,145.0382044063076,19.04611330698287
