location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Surface,2017-06-13,23.515,1.3770000000000002,9.528000000000002,8.169,6.0,2.400111248,,,,,,
SA,Mid-Depth,2017-06-13,23.335,1.495,9.452,7.837000000000001,,,,,,,,
SA,Lower Photic,2017-06-13,22.251,0.8219999999999998,9.192,5.957,,,,,,,,
SA,Deep,2017-06-13,20.717575757575755,0.3203787878787879,9.026818181818182,3.3401515151515144,,,,,,,,
SA,Surface,2017-07-11,23.498,0.777,8.205000000000002,8.393,5.1,2.399963171,,,,,,
SA,Mid-Depth,2017-07-11,23.262,1.039,8.149999999999999,8.248000000000001,,,,,,,,
SA,Lower Photic,2017-07-11,22.642000000000003,1.06,7.948,6.863,,,,,,,,
SA,Deep,2017-07-11,20.85636363636364,0.2907575757575757,7.730151515151514,3.501969696969698,,,,,,,,
SA,Surface,2017-08-08,23.689000000000004,1.068,9.098,8.045999999999998,5.8,2.399741321,,,,,,
SA,Mid-Depth,2017-08-08,23.432,1.171,9.050999999999998,7.901000000000001,,,,,,,,
SA,Lower Photic,2017-08-08,22.146,0.842,8.75,5.420999999999999,,,,,,,,
SA,Deep,2017-08-08,20.7614393939394,0.2776515151515152,8.427121212121213,2.9421969696969694,,,,,,,,
SA,Surface,2017-09-12,23.688,1.312,10.341,7.270999999999999,6.4,2.399287279,,,,,,
SA,Mid-Depth,2017-09-12,23.575,1.121,10.358,7.108,,,,,,,,
SA,Lower Photic,2017-09-12,22.954,0.85,10.023,5.504,,,,,,,,
SA,Deep,2017-09-12,20.93454545454546,0.2089393939393939,9.413030303030302,1.531439393939394,,,,,,,,
SA,Surface,2017-10-12,23.228,0.596,9.143,5.930000000000001,7.8,2.398611737,,,,,,
SA,Mid-Depth,2017-10-12,23.182,1.18,9.157,5.885,,,,,,,,
SA,Lower Photic,2017-10-12,23.004,1.504,9.042,5.537999999999999,,,,,,,,
SA,Deep,2017-10-12,21.053030303030305,0.4075757575757575,8.085833333333333,1.4798484848484852,,,,,,,,
SA,Surface,2017-11-07,22.895,1.135,8.918,7.529000000000001,6.2,2.397611411,,,,,,
SA,Mid-Depth,2017-11-07,22.808,1.99,8.849,7.305,,,,,,,,
SA,Lower Photic,2017-11-07,22.695,1.956,8.600999999999999,6.441,,,,,,,,
SA,Deep,2017-11-07,21.20151515151516,0.7192424242424242,7.86181818181818,2.138484848484848,,,,,,,,
SA,Surface,2017-12-13,22.63241002344351,1.9070000000000005,8.52,3.883,6.6,2.394778661,,,,,,
SA,Mid-Depth,2017-12-13,22.442656658235443,2.338,8.547,3.796,,,,,,,,
SA,Lower Photic,2017-12-13,21.971324115781748,2.466,8.495000000000001,3.705000000000001,,,,,,,,
SA,Deep,2017-12-13,20.908685248937186,2.337045454545456,8.367121212121212,3.650227272727273,,,,,,,,
SA,Surface,2018-01-11,20.5202380383076,8.752287026428798,9.370496045700428,6.560410735436544,5.88214826,2.389178194,,0.7047647296436519,10.315800007566413,1.6242171444044364,6.69429135821256,25.158822651410706
SA,Mid-Depth,2018-01-11,20.436552796366065,6.28692750696432,9.318117706603932,6.320161994352588,,,,0.858504760516204,12.63453871134266,4.210283721927867,32.690610371666665,21.42731814807395
SA,Lower Photic,2018-01-11,20.332573311857,5.654546299790479,9.288681834139968,6.242815082827719,,,,1.050115703046331,7.875022424644044,1.928460271171899,45.48702460888798,23.784057834391906
SA,Deep,2018-01-11,20.29292117647401,5.85072548993748,9.220462929248448,6.1620758662859485,,,,1.4028153144074185,7.447886347632629,2.613007306398689,30.096742620878565,24.07865029518165
SA,Surface,2018-02-07,20.33826735312335,7.878703237897696,8.891050279925881,5.263232190617337,5.69097035,2.374273859,,0.5489318328994862,22.76758272966706,111.39778541768987,0.8061871350343252,39.84020506604036
SA,Mid-Depth,2018-02-07,20.256593756312583,4.271905410142258,8.794570680776163,4.775561536605177,,,,0.5643689276403354,39.66011218112474,27.457972049828104,9.027718460150457,36.30458368058186
SA,Lower Photic,2018-02-07,20.191629611233147,3.624603581135217,8.808821776085846,5.174517277278414,,,,0.709900551722971,33.860497165092944,27.01148368085012,25.903493285388823,41.355471374094
SA,Deep,2018-02-07,20.1158127404174,2.909738618579068,8.719200621442546,5.025477598355542,,,,1.178720228831528,33.4462389496621,31.92285573960799,47.809547145073246,46.65890345228173
SA,Surface,2018-03-13,20.690840305194644,7.261936698745066,8.921379204217654,6.615650826413787,4.1,2.2,,0.5717212111924607,1.721403595624346,17.397856156528658,1.3813803682656145,48.45791568723112
SA,Mid-Depth,2018-03-13,20.46092734295344,8.920386000528863,8.779500108991439,5.887541883086101,,,,0.6435044066144348,1.825407539453896,15.057415685632035,4.056301075973205,24.064426531245847
SA,Lower Photic,2018-03-13,20.34979156229295,9.448971286538251,8.659646438533736,5.284195420680818,,,,0.697957972631016,33.026590688318905,26.291529945935824,13.713520185903723,56.77387789949884
SA,Deep,2018-03-13,20.27849406022767,6.556422660535953,8.398874439808028,3.624359462475398,,,,1.041469289615369,40.46287267213173,35.185203735342995,3.728759764825337,66.75303255422008
SA,Surface,2018-04-10,21.511399298186973,2.877489439674273,8.775691837871722,6.94987953362254,7.55,2.8,,0.4263305864296798,0.8479311598771289,19.296579377896943,4.288455194378361,60.56436047329195
SA,Mid-Depth,2018-04-10,21.22498172447224,2.419978705185602,8.640576691963883,6.239647611958683,,,,0.4993930753471683,4.63969307743052,19.59648925497888,4.976755127957417,37.462249141204126
SA,Lower Photic,2018-04-10,20.939183357766613,1.9795940739743507,8.298800437755183,5.431252556990252,,,,0.6067424455257064,32.141387949323786,39.84040595800962,2.469376798490854,56.14482613150124
SA,Deep,2018-04-10,20.39089836215005,0.6943583432047271,8.112837313427859,2.7105738590463666,,,,1.1826107134458204,37.44071785819359,44.11412170642722,2.3218839555810566,68.19810160911229
SA,Surface,2018-05-15,22.710955471453925,1.9890922544297167,8.840345333333152,7.315734074903753,8.475,2.2,,0.3022218859526872,2.8448690128561176,17.01583138598362,7.295932811643323,37.29898537148368
