location,depth_group,date,temp,chlorophyll_a,ph,dissolved_oxygen,secchi,biochemical_oxygen_demand,total_dissolved_solids,turbidity,nitrate,phosphate,ammonium,phosphorus
SA,Deep,05/04/2022,20.78997404,1.200582759,7.293737361,4.725606697,,,250.4392261,0.528738382,214.8390575,68.72255556,0.816338028,15.70357143
SA,Surface,10/05/2022,23.60113244,1.694491209,8.508604717,7.926953991,5.775,2,248,0.497533635,10.24302857,29.1316,15.39367742,13.04761905
SA,Mid-Depth,10/05/2022,22.99001211,1.976873965,8.10605695,7.45975444,,,248.6615008,0.541664534,4.552457143,24.7836,12.48529032,11.14285714
SA,Lower Photic,10/05/2022,21.91127492,1.235257692,7.629428319,5.596262124,,,251.2120769,0.538020435,107.8094328,41.0886,4.175612903,15.42857143
SA,Deep,10/05/2022,20.89911713,0.776074888,7.250936763,3.865950472,,,252.8064591,0.46674504,156.6936119,71.40465517,2.92916129,17.92857143
SA,Surface,14/06/2022,23.14905808,1.905614483,8.686991704,7.342566271,5.75,1.4,245.2722866,0.411124671,13.54624242,10.30775862,10.60811111,13.41269841
SA,Mid-Depth,14/06/2022,22.89423499,2.27847797,8.018405277,7.173493455,,,246,0.456501979,13.37859091,12.93155172,15.617,12.61904762
SA,Lower Photic,14/06/2022,21.93445781,1.685700787,7.353183472,5.322572178,,,248.6782363,0.54814236,251.6784545,63.53327586,4.883666667,30.2173913
SA,Deep,14/06/2022,20.88072525,0.705351529,6.71853631,3.280274375,,,252.0347174,0.470186559,184.2825455,73.73015806,5.420333333,25.86956522
SA,Surface,12/07/2022,23.14589008,1.612001429,8.623072322,7.412561998,5.7125,2.8,245.8221428,0.653498908,17.35793416,27.13751724,12.12041026,13.65333333
SA,Mid-Depth,12/07/2022,22.96731487,1.721096158,8.00660566,7.031974663,,,246,0.564544423,44.86106173,32.38510345,12.28553846,12.72
SA,Lower Photic,12/07/2022,22.40951645,1.323852237,7.511261953,5.83143038,,,248.7624146,0.509839336,235.4737381,70.61751724,8.074769231,21.5
SA,Deep,12/07/2022,20.94544762,0.755608897,7.018226676,3.340157214,,,251.3481172,0.471946861,189.6330238,66.11958621,11.29476923,17.92
SA,Surface,09/08/2022,23.15486613,1.895803955,7.996239282,7.091904845,6.775,2.8,246,0.567012088,12.55709848,17.32805882,4.968,11.88461538
SA,Mid-Depth,09/08/2022,23.13345574,2.341983319,7.623406626,6.980453596,,,246,0.515426276,15.74247727,13.81129412,5.274666667,11.11538462
SA,Lower Photic,09/08/2022,22.89073174,1.944494043,7.402694099,6.521050695,,,246.7834102,0.604053852,31.83702273,22.44335294,4.968,14.57692308
SA,Deep,09/08/2022,20.96581485,0.805682158,6.635874308,2.786125962,,,252.5681985,0.544271229,154.5738481,83.10290323,1.901333333,20.73076923
SA,Surface,06/09/2022,23.60389643,1.748483719,8.735566499,7.58967292,6.925,2.3,243.9388112,0.459137568,50.50404397,44.31336667,18.72407066,10.86904762
SA,Mid-Depth,06/09/2022,23.36575427,2.396219665,8.394361921,6.929495391,,,243.6508394,0.562615718,104.3115309,47.9367,11.10542222,3.25
SA,Lower Photic,06/09/2022,22.8792864,1.682565626,7.869554721,5.591720864,,,246.8311452,0.453129554,156.7678272,51.1977,7.670755556,9.678571429
SA,Deep,06/09/2022,21.09049537,0.875982571,7.086405176,2.225875877,,,253.6313304,0.338167263,324.5186914,109.2435,10.53297778,7.178571429
SA,Surface,18/10/2022,22.98700161,2.96997189,8.618268005,7.282552036,6.025,3.4,242,0.626375271,17.10386441,21.17775862,16.50023179,13.90909091
SA,Mid-Depth,18/10/2022,22.85825357,3.222131054,7.797636799,6.707720655,,,242.4148474,0.571586089,14.10318644,41.04362069,18.64672727,14.36363636
SA,Lower Photic,18/10/2022,22.73009418,2.410547136,7.459437625,6.156961293,,,243.1055199,0.530530744,12.9779322,25.30086207,22.74490909,15.72727273
SA,Deep,18/10/2022,21.15101931,0.936095927,6.552496912,1.983944631,,,252.6208696,0.422673552,39.89381081,106.7434,9.279454545,33.04166667
SA,Surface,08/11/2022,23.0296862,2.414392746,8.473295127,7.074862201,6.625,3.9,242.2859494,0.464736449,63.33543662,30.94067857,8.643911111,17.76190476
SA,Mid-Depth,08/11/2022,22.91928304,2.453575611,8.34212377,6.478442008,,,242.6662862,0.474454831,68.32247887,38.31675,17.08746667,22.7826087
SA,Lower Photic,08/11/2022,22.73565762,1.246891413,8.162074172,5.524241204,,,244.8307412,0.435912364,236.6351549,51.12782143,6.354133333,19.30434783
SA,Deep,08/11/2022,21.25323474,0.78938437,7.479832725,1.894134289,,,252.8659086,0.487978612,253.4664225,111.68925,3.778133333,29.73913043
SA,Surface,06/12/2022,21.72060968,1.953923496,8.473870871,6.541632997,6.2,2.2,245,0.533123309,82.28407286,30.54844828,40.29885876,12
SA,Mid-Depth,06/12/2022,21.67285244,2.529173662,7.839038709,6.353138515,,,245,0.577080054,96.53464865,34.29672414,27.59376271,22.5
SA,Lower Photic,06/12/2022,21.64657819,2.484127329,7.53349718,6.162844338,,,245,0.582331595,59.45194595,33.17224138,26.93884746,15.63636364
SA,Deep,06/12/2022,21.51537943,2.147610477,7.304393971,5.724052254,,,246.2441976,0.861431829,105.5062703,55.09965517,36.3259661,22.5
SA,Surface,17/01/2023,20.93843957,2.404316626,8.057423214,6.907896067,6.375,2.5,247.2273522,0.500098956,77.7587451,35.99668438,22.0082921,12.77777778
SA,Mid-Depth,17/01/2023,20.85816686,2.718232118,7.50036787,6.583605762,,,246.999202,0.504951636,85.78629412,38.71418438,30.51081967,10.83333333
SA,Lower Photic,17/01/2023,20.7681304,2.312205189,7.213929123,6.450935397,,,247.9285509,0.619301908,84.48452941,38.71418438,42.54622951,13.75
SA,Deep,17/01/2023,20.70566967,1.975266915,7.220624496,6.24688365,,,248,0.890298121,100.1057059,44.82855937,45.08,13.75
SA,Surface,14/02/2023,20.8306116,2.319906262,7.617233086,6.587865041,7.2125,1.7,248,0.465552644,54.15045168,33.3709,11.69107692,13.56521739
SA,Mid-Depth,14/02/2023,20.66615562,6.854829329,7.166284961,6.640716812,,,248,0.820159061,77.30746667,30.1099,6.406974359,18.7826087
SA,Lower Photic,14/02/2023,20.54856774,3.785287464,6.842219083,6.584954458,,,248.1053771,0.705603546,84.9792,34.4579,18.95671795,15.73913043
SA,Deep,14/02/2023,20.49154892,3.586313122,6.257852135,6.313545612,,,249.1661846,0.888242706,43.66986667,29.0229,23.25005128,14.43478261
SA,Surface,14/03/2023,21.40490335,4.790844511,8.230917056,7.724225387,5.1125,4.1,249,0.554556333,105.9289333,37.81442424,4.713904762,12.07777778
SA,Mid-Depth,14/03/2023,21.11283455,4.406903493,7.761768659,7.046693989,,,249,0.563386321,7.975150943,50.002,5.940571429,10.63333333
SA,Lower Photic,14/03/2023,20.77647796,5.662119385,7.41153357,5.760694696,,,249.6348068,0.497788213,7.140056604,45.06109091,3.312,16.96666667
SA,Deep,14/03/2023,20.61518951,1.817654237,6.999604713,4.711602939,,,251.8892158,0.666409013,114.5701714,54.94290909,6.597714286,15.3
SA,Surface,11/04/2023,22.01185843,1.948239141,8.083014916,7.12905906,7.2375,0.6,250,0.448381017,122.0975648,35.47572727,11.30266667,12.78787879
SA,Mid-Depth,11/04/2023,21.9585741,2.445948941,7.525652487,7.002897339,,,250,0.455898457,244.2027937,53.263,9.436,11.72727273
SA,Lower Photic,11/04/2023,21.72534656,2.192495049,7.242870636,6.552090689,,,250.4029661,0.4678665,316.564381,73.780125,3.836,17.7826087
SA,Deep,11/04/2023,20.7232426,0.928939242,6.546955772,2.73548242,,,253.0635638,0.613134232,295.4881905,98.237625,2.156,27.7826087
SA,Surface,09/05/2023,23.48376528,1.287146305,7.509066358,7.769248012,7.5625,3.1,249.9384978,0.43744613,14.107875,13.39464516,0,14.92222222
SA,Mid-Depth,09/05/2023,23.12381909,2.183762397,7.063670898,7.500319833,,,249.807306,0.573826727,17.980625,18.30367742,0,13.03333333
SA,Lower Photic,09/05/2023,22.20310464,2.010448645,6.604859042,5.916004638,,,252.3537378,0.40471304,94.97145763,54.06948387,0,18.36666667
SA,Deep,09/05/2023,20.79385579,0.89916037,6.230406398,3.153840855,,,252.3393313,0.528446492,73.96671186,79.94709677,0,37.77272727
SA,Surface,13/06/2023,24.40102551,1.619732059,8.478696615,7.669910373,5.833333333,2.8,249,0.483840408,7.711969697,17.35317857,0,10.84057971
SA,Mid-Depth,13/06/2023,23.98260343,2.427264398,8.074114354,7.152626728,,,248.7496614,0.650372101,50.44338235,16.18853571,0,14.17391304
SA,Lower Photic,13/06/2023,22.42845849,1.506422664,7.433627217,4.562431191,,,253.4611659,0.39103378,237.8975,56.95103571,0,19.40909091
SA,Deep,13/06/2023,20.84221901,0.709055598,6.874552265,2.16162986,,,254.4257091,0.402583484,290.6189706,98.917,0,30.31818182
SA,Surface,18/07/2023,24.0155304,2.203525877,7.963983283,7.142385959,5.975,2.453661875,248.4094926,0.545593495,28.24677042,18.85804494,1.806820604,12.58733306
