month_year,Year,Month (num),Month,Day,date,Location,Municipality,X,Y,Altitude,Time,Temperature,Ambient T,Temp change,pH,depth,Total_Dissolved_Solids,Sediments,O2,O2,Salinity,Conductivity,Flow,flow,phosphate,Nitrates,Turbidity,Fecal_Coliforms,BOD,Total_Nitrogen,Total_Phosphorus,ICA,Quality,Colour
24,2016,12,Dic,2,02/12/2016,Rio San Buenaventura,Panajachel,428435,1631162,1596,,19,,,8.59,62,111.1,-0.1,7.58,98.4,0.11,233,2.43,0.002,,,,,,,,,,
24,2016,12,Dic,2,02/12/2016,Río San Francisco,Panajachel,430805,1631438,1637,,19.7,,,8.17,12,96.3,0.3,7.23,95.7,0.1,202.4,90.21,0.09,,,,,,,,,,
24,2016,12,Dic,6,06/12/2016,Río Quiscab,Sololá,426160,1630385,0,,20,,,8.41,33.4,76.3,0.5,7.26,96.1,0.08,160.8,590.86,0.59,,,,,,,,,,
24,2016,12,Dic,6,06/12/2016,Río Tzununá,Santa Cruz La Laguna,,,,,20.4,,,8.42,83,56.4,0.2,7.09,94.7,0.06,119.4,48.94,0.048,,,,,,,,,,
26,2017,2,Feb,1,01/02/2017,Río La Catarata,Panajachel,428286,1631202,0,,16,,,8.08,120,143.1,0.1,6.23,76.3,0.14,299,0.028,0,,,,,,,,,,
26,2017,2,Feb,1,01/02/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
26,2017,2,Feb,1,01/02/2017,Río San Francisco,Panajachel,430828,1631459,1636,,24.3,,,8.73,10,105.9,0.5,7.16,104.2,0.1,222,35.45,0.035,,,,,,,,,,
26,2017,2,Feb,7,07/02/2017,Río Quiscab,Sololá,426160,1630385,0,,20.3,,,8.55,40,80.7,0.1,7.23,96.5,0.08,170.1,336.23,0.336,,,,,,,,,,
26,2017,2,Feb,7,07/02/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.3,,,8.26,70,56.2,0.1,7.21,94.1,0.06,118.9,31.56,0.031,,,,,,,,,,
27,2017,3,Mar,1,01/03/2017,Río La Catarata,Panajachel,428286,1631202,0,,19.8,,,8.19,120,137.3,-0.1,6.91,91.3,0.14,287,0.1,0,,,,,,,,,,
27,2017,3,Mar,1,01/03/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
27,2017,3,Mar,1,01/03/2017,Río San Francisco,Panajachel,430828,1631459,1636,,22.8,,,8.96,25,111.1,0.1,7.46,104.8,0.11,233,52.8,0.052,,,,,,,,,,
27,2017,3,Mar,13,13/03/2017,Río Quiscab,Sololá,426160,1630385,0,,21,,,8.47,29,81.4,0.1,7.23,97.7,0.08,171.6,458.7,0.458,,,,,,,,,,
27,2017,3,Mar,13,13/03/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19.2,,,8.35,105,58.1,0.1,7.32,95.2,0.06,122.9,51.09,0.051,,,,,,,,,,
28,2017,4,Abr,3,03/04/2017,Río La Catarata,Panajachel,428286,1631202,0,,18.8,,,8.47,120,124.5,0.1,8.47,109.7,0.12,261,2.02,0.002,,,,,,,,,,
28,2017,4,Abr,3,03/04/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,23.2,,,8.99,120,99.8,0.1,8.75,123.6,0.1,209.7,2.69,0.002,,,,,,,,,,
28,2017,4,Abr,3,03/04/2017,Río San Francisco,Panajachel,430828,1631459,1636,,22.5,,,8.36,15,108.4,0.2,7.07,98.9,0.11,226,38.95,0.038,,,,,,,,,,
28,2017,4,Abr,18,18/04/2017,Río Quiscab,Sololá,426160,1630385,0,,20,,,8.59,36,80.8,0.3,7.41,98,0.08,170.2,326.26,0.326,,,,,,,,,,
28,2017,4,Abr,18,18/04/2017,Río Tzununá,Santa Cruz La Laguna,420004,1629107,1581,,19,,,8.21,38,55,0.3,7.28,94.4,0.05,116.5,61.12,0.061,,,,,,,,,,
29,2017,5,May,2,02/05/2017,Río La Catarata,Panajachel,428286,1631202,0,,18.5,,,8.66,7,115.2,0.1,7.39,95.1,0.11,241,13.18,0.013,,,,,,,,,,
29,2017,5,May,2,02/05/2017,Rio San Buenaventura,Panajachel,428429,1631144,1592,,19.7,,,8.69,50,101.4,0.1,7.37,97.2,0.1,213,11.71,0.011,,,,,,,,,,
29,2017,5,May,2,02/05/2017,Río San Francisco,Panajachel,430828,1631459,1636,,22.3,,,8.36,35,103.5,0.1,6.7,94.2,0.1,217.3,135.6,0.135,,,,,,,,,,
